,7n9c_D,7d8b_B,7l6v_D,7p5v_G,6zwk_A,7ocy_C,7cz0_E,7oan_F,7m1h_F,7kd0_C,7tpr_D,7z1b_E,7nft_C,7rby_B,7d4b_B,7e6u_B,7p5w_G,7vfa_D,7s7r_B,7fau_B,7nfr_B,7lzp_C,7r63_A,7l6v_B,7php_N,7anq_B,7m1h_E,7z1c_E,7olz_B,7d6y_B,7r4i_D,7fat_B,7sl9_B,7nqa_C,7te8_A,7o06_A,7p6k_G,7omn_A,7te8_C,7p60_G,7ar0_B,7l6v_C,7qbg_E,7qbe_E,7t5f_B,7lzp_B,7na9_D,7s2r_B,7b2p_D,7r74_B,7p5y_G,7qiv_C,7r98_D,7r20_B,7czd_A,7tpr_F,7e53_B,7f5g_B,7zfb_M,7ndf_C,7t5f_C,7ngh_D,7rnn_C,7z1a_E,7apj_B,7lzp_G,7nfq_C,7ooi_A,7nqk_B,7djx_A,7pqg_B,7djy_A,7vfb_B,7r4r_D,7r4q_D
6qup_B,71,60,70,78,73,71,78,66,76,71,67,72,73,69,78,68,75,65,76,64,71,70,64,75,75,69,67,72,74,61,67,67,75,67,67,78,77,67,68,70,72,65,69,67,70,62,71,65,70,77,76,76,65,75,70,70,63,71,68,76,75,76,77,72,75,65,74,67,65,75,71,72,68,75,72
6vbg_C,74,56,66,76,76,70,75,65,70,69,68,72,73,67,74,70,73,66,79,66,71,65,69,71,69,69,64,72,77,57,65,69,75,64,67,72,77,64,68,69,72,63,67,69,71,67,71,65,70,73,76,76,68,71,73,68,65,67,68,71,71,76,74,74,69,62,74,63,69,77,73,72,66,73,70
4nc2_B,74,59,66,73,80,66,72,68,69,71,67,76,75,68,76,73,73,70,79,69,68,68,66,71,74,69,66,76,78,61,69,73,78,63,69,71,73,63,70,73,76,64,70,71,68,66,74,66,69,68,74,79,69,71,67,71,69,69,71,68,72,72,74,76,66,61,71,65,66,77,75,74,70,73,73
6jri_A,70,54,57,65,69,59,71,63,64,67,67,68,67,69,66,71,66,65,71,66,64,57,61,65,66,66,60,68,71,55,63,69,70,59,63,68,67,59,65,69,65,61,70,71,65,61,68,68,63,68,67,69,64,64,67,65,65,63,70,63,64,66,68,69,63,54,67,61,65,74,71,67,66,66,69
7n0i_I,71,59,59,68,70,60,70,63,65,65,66,74,71,69,67,68,69,66,74,65,64,59,64,63,65,67,61,74,75,59,63,67,73,60,68,65,69,63,67,67,72,59,67,67,63,62,69,64,65,65,70,71,69,67,67,63,68,60,66,64,67,68,69,74,64,52,68,62,63,73,71,73,67,68,67
5jqh_C,69,63,70,76,73,72,76,66,74,70,67,75,73,70,75,72,79,66,78,67,71,69,68,71,73,69,67,75,74,64,67,70,76,69,69,77,75,66,71,70,74,64,68,69,68,62,71,65,69,76,79,76,65,78,73,68,65,71,67,75,76,75,74,75,72,61,75,66,64,75,71,72,70,75,71
6i6j_C,69,60,69,83,71,69,81,65,69,67,67,72,68,67,71,66,87,64,73,64,68,68,65,69,71,65,64,72,71,61,69,67,77,65,67,70,82,65,66,73,70,60,67,65,69,60,68,62,70,69,88,70,60,74,69,67,64,69,67,69,68,82,74,72,70,59,74,63,61,74,68,72,64,72,69
7a50_A,74,57,62,68,77,65,70,64,67,71,65,77,75,72,70,71,70,66,77,65,66,61,66,66,70,72,62,76,78,58,64,70,74,60,67,69,68,63,69,68,76,60,68,69,63,65,73,64,67,68,72,72,69,68,67,66,68,63,67,65,65,68,68,76,65,58,68,63,62,80,72,72,67,69,68
3k7u_A,71,56,62,71,73,66,73,66,65,70,65,77,75,71,71,67,73,66,80,67,66,61,67,67,68,71,62,77,78,56,66,70,75,63,70,72,71,60,68,69,75,62,68,70,63,68,72,64,66,71,74,75,69,71,67,66,67,64,68,66,66,70,70,77,64,57,70,60,65,77,72,71,68,70,69
4w6x_B,67,55,59,65,67,60,64,64,62,65,67,68,65,67,65,67,67,66,71,67,63,58,62,61,65,62,60,67,70,55,66,74,70,58,64,68,66,57,67,70,67,60,65,66,62,59,67,67,61,66,67,70,62,66,64,65,69,63,63,64,66,66,65,67,60,54,65,58,60,69,65,66,74,71,70
3zhd_A,67,68,60,67,69,62,68,63,67,68,67,69,71,69,70,66,69,64,73,61,71,62,60,71,68,64,60,69,69,68,61,65,67,61,73,67,69,74,71,61,67,59,72,64,71,62,64,59,75,70,69,69,60,71,76,67,60,63,67,64,69,67,73,69,64,57,76,74,61,70,65,68,63,67,66
6qx4_D,73,65,64,71,74,63,70,63,73,71,71,70,71,71,74,69,72,66,73,65,75,64,64,67,68,67,60,70,74,65,63,73,73,64,66,69,71,68,66,68,70,61,70,67,74,62,69,63,78,68,73,72,65,67,78,74,65,65,71,66,65,72,74,70,67,58,80,68,62,74,71,70,66,69,71
6hhu_H,73,65,64,71,74,63,70,63,73,71,71,70,71,71,74,69,72,66,73,65,75,64,64,67,68,67,60,70,74,65,63,73,73,64,66,69,71,68,66,68,70,61,70,67,74,62,69,63,78,68,73,72,65,67,78,74,65,65,71,66,65,72,74,70,67,58,80,68,62,74,71,70,66,69,71
4ksd_B,74,58,66,75,75,69,73,65,68,71,65,76,75,69,70,70,75,70,82,69,69,65,66,74,68,70,64,76,77,58,67,70,76,64,72,70,74,62,71,71,76,59,66,69,70,62,73,65,67,74,74,76,69,71,70,70,66,69,67,70,69,75,74,76,68,58,70,62,67,79,75,73,72,73,71
6gzp_A,73,56,64,71,78,68,71,65,69,69,66,73,74,70,72,70,71,65,81,64,67,63,67,71,69,71,63,73,77,56,67,68,75,62,69,67,72,62,68,68,74,65,68,70,66,65,76,67,67,71,72,73,66,67,68,66,64,64,69,65,68,73,70,74,67,60,70,62,69,75,75,72,66,71,68
5lmw_A,73,56,64,71,78,68,71,65,69,69,66,73,74,70,72,70,71,65,81,64,67,63,67,71,69,71,63,73,77,56,67,68,75,62,69,67,72,62,68,68,74,65,68,70,66,65,76,67,67,71,72,73,66,67,68,66,64,64,69,65,68,73,70,74,67,60,70,62,69,75,75,72,66,71,68
6heq_A,71,57,62,67,72,65,68,61,68,70,66,70,75,68,71,69,67,63,75,65,67,61,65,66,67,68,60,70,72,56,62,70,70,61,67,69,67,64,70,63,70,60,65,64,68,60,69,63,69,69,67,70,66,69,73,67,66,65,66,64,66,68,69,70,63,57,70,63,67,72,69,69,67,66,66
1rjc_A,68,54,55,63,68,58,61,63,59,59,65,64,62,68,66,67,63,70,68,69,59,52,56,58,63,62,55,64,65,54,64,70,66,55,63,63,63,58,63,68,66,54,63,63,59,60,65,69,61,63,63,66,63,65,62,67,63,57,58,61,62,63,61,62,57,52,62,58,57,70,64,63,71,67,69
6qgx_B,71,59,61,70,75,65,70,65,67,67,62,74,74,67,69,69,72,64,75,66,63,61,67,67,66,71,58,74,76,59,69,68,71,60,66,66,71,64,66,67,71,61,66,67,63,62,71,62,63,67,70,73,62,68,64,64,65,62,68,65,66,68,69,74,66,57,67,63,64,74,70,71,65,67,67
6gk4_C,68,57,63,72,67,68,72,66,70,69,61,66,72,66,73,65,71,62,72,62,67,64,62,71,67,61,66,66,67,59,63,65,71,62,66,71,74,60,68,65,68,62,66,64,67,55,66,62,66,72,69,72,63,72,69,68,63,68,63,66,70,71,74,66,71,57,71,59,60,68,66,67,64,70,68
6dbe_A,73,58,65,73,73,67,74,64,71,72,65,75,73,70,74,69,74,66,80,65,70,66,65,74,72,72,66,75,78,60,67,68,73,64,71,73,73,63,72,70,75,63,70,70,69,65,73,66,68,75,75,76,65,72,70,68,63,70,66,72,72,73,74,75,71,59,72,62,63,77,72,73,68,73,69
6h6y_E,71,59,65,70,74,66,69,65,67,70,63,76,75,69,70,68,69,69,79,66,71,64,65,69,67,71,63,76,78,59,63,68,76,62,68,71,71,65,70,66,73,59,67,67,65,60,69,66,65,74,70,71,69,70,71,67,65,67,69,70,68,71,72,76,69,58,71,64,65,75,73,70,70,72,69
7aqg_B,66,56,64,73,68,63,75,60,67,68,61,69,67,65,67,64,69,60,72,59,67,62,61,73,66,62,64,66,69,54,62,62,71,62,66,69,75,58,67,62,65,63,66,62,68,58,67,61,64,69,70,68,58,71,68,64,61,64,65,68,69,72,74,67,68,60,72,58,61,70,64,70,63,68,66
6gwq_B,66,56,64,73,68,63,75,60,67,68,61,69,67,65,67,64,69,60,72,59,67,62,61,73,66,62,64,66,69,54,62,62,71,62,66,69,75,58,67,62,65,63,66,62,68,58,67,61,64,69,70,68,58,71,68,64,61,64,65,68,69,72,74,67,68,60,72,58,61,70,64,70,63,68,66
6gwp_B,66,56,64,73,68,63,75,60,67,68,61,69,67,65,67,64,69,60,72,59,67,62,61,73,66,62,64,66,69,54,62,62,71,62,66,69,75,58,67,62,65,63,66,62,68,58,67,61,64,69,70,68,58,71,68,64,61,64,65,68,69,72,74,67,68,60,72,58,61,70,64,70,63,68,66
6gwn_B,66,56,64,73,68,63,75,60,67,68,61,69,67,65,67,64,69,60,72,59,67,62,61,73,66,62,64,66,69,54,62,62,71,62,66,69,75,58,67,62,65,63,66,62,68,58,67,61,64,69,70,68,58,71,68,64,61,64,65,68,69,72,74,67,68,60,72,58,61,70,64,70,63,68,66
7bnp_A,73,61,63,74,75,71,75,67,71,70,66,76,74,71,74,69,75,67,81,67,71,63,66,71,72,72,65,76,80,59,70,74,74,66,69,72,75,66,69,72,76,63,71,75,69,66,76,66,70,75,77,76,71,73,70,70,67,67,69,69,72,75,75,76,70,59,72,66,66,80,76,76,70,74,72
3ezj_B,71,62,68,74,73,70,74,64,75,71,67,72,75,70,77,70,75,66,78,66,69,68,66,70,75,68,69,72,73,63,67,69,77,66,65,80,76,66,67,69,72,64,69,67,69,60,70,66,69,76,76,77,66,79,70,68,64,70,66,75,72,74,75,72,75,63,74,65,63,73,71,71,70,75,71
5ktz_7,70,56,61,71,72,63,71,66,65,66,67,68,70,68,68,72,72,70,75,70,65,60,64,65,67,66,61,69,73,56,70,74,73,59,67,67,71,58,67,70,72,58,67,63,65,62,70,65,64,66,71,73,66,65,67,69,67,65,68,65,68,70,70,68,65,58,67,61,61,72,69,70,71,69,71
7r73_A,70,59,56,67,72,60,67,65,65,65,63,72,68,67,67,68,67,69,76,68,60,58,63,64,66,67,61,72,72,58,64,70,74,60,65,72,67,60,65,65,74,59,66,69,58,60,70,65,64,67,68,70,68,67,63,67,65,60,65,63,63,67,67,72,61,54,64,60,64,76,72,68,71,67,66
2xa3_A,70,59,56,67,72,60,67,65,65,65,63,72,68,67,67,68,67,69,76,68,60,58,63,64,66,67,61,72,72,58,64,70,74,60,65,72,67,60,65,65,74,59,66,69,58,60,70,65,64,67,68,70,68,67,63,67,65,60,65,63,63,67,67,72,61,54,64,60,64,76,72,68,71,67,66
5o05_C,67,58,70,69,67,65,69,61,70,66,64,65,70,65,71,66,69,64,69,61,65,67,61,66,68,64,66,65,66,58,62,66,72,59,62,73,68,62,68,64,65,63,66,65,64,59,65,60,63,70,72,69,61,69,66,66,63,68,65,66,72,68,70,66,68,63,69,62,58,69,66,68,66,68,67
7sla_B,73,59,67,77,74,69,79,65,72,72,68,73,75,70,74,70,78,67,79,66,71,67,67,72,73,70,67,73,76,59,69,70,84,65,73,75,77,64,70,71,74,66,74,68,68,61,71,66,67,77,77,77,68,78,71,69,66,69,69,73,75,76,79,73,74,58,76,63,65,74,72,73,71,73,74
7sl8_B,73,59,67,77,74,69,79,65,72,72,68,73,75,70,74,70,78,67,79,66,71,67,67,72,73,70,67,73,76,59,69,70,84,65,73,75,77,64,70,71,74,66,74,68,68,61,71,66,67,77,77,77,68,78,71,69,66,69,69,73,75,76,79,73,74,58,76,63,65,74,72,73,71,73,74
7kdm_C,71,57,63,69,74,66,67,63,66,70,65,72,71,68,71,68,70,66,76,68,71,66,62,70,71,66,65,72,74,58,64,69,70,64,66,67,68,62,65,66,73,61,66,67,68,62,68,64,67,69,70,74,65,69,67,66,61,66,62,67,67,70,69,72,64,56,68,62,64,74,72,72,63,68,68
7kc9_C,71,57,63,69,74,66,67,63,66,70,65,72,71,68,71,68,70,66,76,68,71,66,62,70,71,66,65,72,74,58,64,69,70,64,66,67,68,62,65,66,73,61,66,67,68,62,68,64,67,69,70,74,65,69,67,66,61,66,62,67,67,70,69,72,64,56,68,62,64,74,72,72,63,68,68
6obg_C,71,60,68,76,75,71,75,63,73,73,64,70,73,69,76,67,76,62,73,64,66,71,62,71,75,66,66,70,72,59,65,66,76,68,69,74,75,64,68,70,70,66,70,63,67,59,69,61,68,75,75,78,64,77,68,65,60,69,66,71,70,75,75,70,69,62,69,63,63,71,67,68,64,70,68
6h1f_A,72,56,61,65,72,61,65,61,67,67,63,70,71,65,67,66,66,65,76,67,67,61,62,67,65,69,61,70,72,57,61,66,74,61,64,68,65,60,63,64,73,61,66,66,64,64,69,67,63,66,66,71,68,65,65,65,68,63,64,65,61,65,65,70,66,53,66,60,70,76,69,67,67,67,64
4s11_A,72,56,61,65,72,61,65,61,67,67,63,70,71,65,67,66,66,65,76,67,67,61,62,67,65,69,61,70,72,57,61,66,74,61,64,68,65,60,63,64,73,61,66,66,64,64,69,67,63,66,66,71,68,65,65,65,68,63,64,65,61,65,65,70,66,53,66,60,70,76,69,67,67,67,64
4s10_A,72,56,61,65,72,61,65,61,67,67,63,70,71,65,67,66,66,65,76,67,67,61,62,67,65,69,61,70,72,57,61,66,74,61,64,68,65,60,63,64,73,61,66,66,64,64,69,67,63,66,66,71,68,65,65,65,68,63,64,65,61,65,65,70,66,53,66,60,70,76,69,67,67,67,64
6h70_C,67,57,56,65,67,58,65,62,61,65,61,70,71,67,64,65,65,67,74,64,63,58,63,63,64,67,60,73,72,55,60,63,71,59,65,63,65,59,64,65,71,56,66,65,61,59,71,62,62,66,67,68,64,62,62,67,63,61,70,60,63,67,66,73,62,52,65,60,61,72,71,67,66,63,63
6h6z_C,67,57,56,65,67,58,65,62,61,65,61,70,71,67,64,65,65,67,74,64,63,58,63,63,64,67,60,73,72,55,60,63,71,59,65,63,65,59,64,65,71,56,66,65,61,59,71,62,62,66,67,68,64,62,62,67,63,61,70,60,63,67,66,73,62,52,65,60,61,72,71,67,66,63,63
4xt1_C,69,58,72,73,71,69,73,65,76,70,65,69,73,67,78,68,75,63,74,63,67,72,65,73,75,66,67,69,72,59,65,66,76,69,68,78,73,64,68,70,67,65,69,65,71,60,68,62,69,76,74,75,61,75,67,67,59,72,66,75,75,72,76,69,73,64,72,64,64,72,69,72,65,72,70
3zhk_A,67,70,60,69,68,61,70,61,67,69,67,69,71,69,70,65,69,64,74,61,74,62,60,71,67,63,60,69,69,70,61,65,66,61,73,67,71,73,72,62,67,59,71,64,73,62,64,58,78,69,71,70,59,69,78,69,61,63,66,64,67,70,73,69,64,56,78,73,59,71,66,68,62,66,66
6yo6_C,76,58,62,72,77,66,70,66,69,68,65,73,73,68,74,72,73,66,76,67,67,64,64,68,72,69,67,73,77,56,66,69,76,61,67,74,70,59,67,72,73,63,67,67,67,65,75,65,64,71,71,99,66,72,65,70,64,69,67,70,72,71,70,73,63,60,68,60,65,74,74,73,69,70,69
6ru5_C,76,58,62,72,77,66,70,66,69,68,65,73,73,68,74,72,73,66,76,67,67,64,64,68,72,69,67,73,77,56,66,69,76,61,67,74,70,59,67,72,73,63,67,67,67,65,75,65,64,71,71,99,66,72,65,70,64,69,67,70,72,71,70,73,63,60,68,60,65,74,74,73,69,70,69
6ehg_C,76,58,62,72,77,66,70,66,69,68,65,73,73,68,74,72,73,66,76,67,67,64,64,68,72,69,67,73,77,56,66,69,76,61,67,74,70,59,67,72,73,63,67,67,67,65,75,65,64,71,71,99,66,72,65,70,64,69,67,70,72,71,70,73,63,60,68,60,65,74,74,73,69,70,69
4poy_A,70,56,60,74,71,64,72,65,67,68,64,72,70,67,69,69,73,66,74,67,64,61,60,67,69,63,64,71,73,55,66,70,73,62,68,68,72,63,66,72,69,62,69,66,69,61,70,65,63,69,73,76,62,67,64,67,62,66,67,66,71,72,69,71,67,59,67,62,61,73,70,71,69,70,71
6q6z_B,68,54,59,67,70,59,68,63,63,68,60,71,72,67,66,70,69,65,74,64,64,59,63,67,65,68,65,71,75,54,61,68,70,61,65,66,68,60,67,66,71,60,66,67,63,58,69,63,67,67,68,70,63,65,63,65,65,65,67,61,65,69,67,70,64,55,65,62,61,73,70,70,66,65,65
3ogo_E,69,60,64,82,66,68,80,62,67,74,61,64,67,64,65,65,76,61,71,59,66,64,62,76,67,59,66,64,65,60,62,62,70,63,66,67,83,62,66,62,63,62,65,60,69,52,64,59,66,69,77,66,59,72,70,63,59,65,66,68,69,80,75,64,68,63,73,62,61,67,63,67,59,68,64
7v0v_A,69,60,64,82,66,68,80,62,67,74,61,64,67,64,65,65,76,61,71,59,66,64,62,76,67,59,66,64,65,60,62,62,70,63,66,67,83,62,66,62,63,62,65,60,69,52,64,59,66,69,77,66,59,72,70,63,59,65,66,68,69,80,75,64,68,63,73,62,61,67,63,67,59,68,64
3k1k_C,69,60,64,82,66,68,80,62,67,74,61,64,67,64,65,65,76,61,71,59,66,64,62,76,67,59,66,64,65,60,62,62,70,63,66,67,83,62,66,62,63,62,65,60,69,52,64,59,66,69,77,66,59,72,70,63,59,65,66,68,69,80,75,64,68,63,73,62,61,67,63,67,59,68,64
4ppt_A,70,56,60,74,71,64,72,65,67,68,64,72,70,67,69,69,73,66,74,67,64,61,60,67,69,63,64,72,73,55,66,70,73,61,68,68,72,63,66,73,69,62,69,66,69,61,70,64,63,69,73,76,62,67,64,67,62,65,67,66,71,72,69,71,67,59,67,62,61,73,70,71,69,70,71
6z20_B,77,61,64,73,77,67,72,64,72,73,69,73,75,71,71,71,74,68,83,67,68,64,67,70,71,70,65,73,78,61,67,71,75,65,71,72,74,67,72,71,76,61,70,71,69,65,76,68,72,76,74,78,69,71,72,71,67,69,69,69,72,74,73,73,68,58,69,66,69,81,75,74,70,74,71
6z1z_A,77,61,64,73,77,67,72,64,72,73,69,73,75,71,71,71,74,68,83,67,68,64,67,70,71,70,65,73,78,61,67,71,75,65,71,72,74,67,72,71,76,61,70,71,69,65,76,68,72,76,74,78,69,71,72,71,67,69,69,69,72,74,73,73,68,58,69,66,69,81,75,74,70,74,71
6x03_D,68,59,59,66,70,62,67,63,64,66,64,73,65,67,70,66,66,66,70,66,63,58,59,62,66,67,61,73,73,59,64,66,70,58,64,63,64,60,64,69,67,60,62,66,63,65,66,61,61,67,66,70,65,63,61,66,66,60,64,64,66,64,68,74,63,53,62,59,64,72,72,67,66,67,72
5fwo_A,71,60,58,66,71,61,66,63,64,66,63,78,72,71,70,69,68,64,76,66,62,58,62,64,67,68,60,76,76,57,63,69,71,58,64,66,66,60,64,66,73,60,67,69,63,65,73,62,65,64,69,69,66,66,63,65,65,58,67,63,63,67,65,73,63,53,66,60,63,74,70,68,67,64,63
6ysq_G,72,56,63,69,77,65,68,64,69,65,65,74,73,69,73,70,70,65,76,66,68,63,65,71,67,70,61,73,76,56,65,71,72,63,64,71,67,62,65,67,73,61,68,68,66,68,74,66,67,67,71,76,71,65,67,65,63,62,66,63,68,67,70,73,65,56,71,62,66,75,75,72,67,69,67
5g5x_B,69,59,70,77,71,72,78,66,73,71,66,73,75,70,78,70,75,66,75,66,73,71,65,73,75,66,66,73,75,59,68,70,75,68,69,80,77,66,71,69,70,65,71,67,71,61,70,63,67,76,78,76,65,76,72,69,64,74,66,72,73,77,79,71,74,64,76,66,65,74,71,71,68,73,74
5g5r_B,69,59,70,77,71,72,78,66,73,71,66,73,75,70,78,70,75,66,75,66,73,71,65,73,75,66,66,73,75,59,68,70,75,68,69,80,77,66,71,69,70,65,71,67,71,61,70,63,67,76,78,76,65,76,72,69,64,74,66,72,73,77,79,71,74,64,76,66,65,74,71,71,68,73,74
7n0h_X,71,60,67,85,71,71,83,64,69,69,65,70,69,67,69,68,89,64,73,66,68,67,66,70,68,65,62,70,75,59,68,66,76,66,68,69,83,63,68,72,68,60,67,63,70,61,67,65,69,70,88,70,62,72,69,67,65,65,66,70,68,83,74,71,71,59,73,62,61,73,68,71,65,72,71
7n0g_X,71,60,67,85,71,71,83,64,69,69,65,70,69,67,69,68,89,64,73,66,68,67,66,70,68,65,62,70,75,59,68,66,76,66,68,69,83,63,68,72,68,60,67,63,70,61,67,65,69,70,88,70,62,72,69,67,65,65,66,70,68,83,74,71,71,59,73,62,61,73,68,71,65,72,71
7kgj_B,71,60,67,85,71,71,83,64,69,69,65,70,69,67,69,68,89,64,73,66,68,67,66,70,68,65,62,70,75,59,68,66,76,66,68,69,83,63,68,72,68,60,67,63,70,61,67,65,69,70,88,70,62,72,69,67,65,65,66,70,68,83,74,71,71,59,73,62,61,73,68,71,65,72,71
7kjh_A,75,59,63,73,74,69,72,65,69,74,65,76,76,71,71,70,74,68,81,67,69,64,68,70,68,72,64,77,80,59,67,71,75,65,72,74,73,61,69,69,77,63,66,71,65,63,72,65,70,73,75,76,69,70,68,70,66,67,67,66,68,73,72,77,67,59,71,60,66,78,75,72,70,73,69
2p49_B,70,56,60,73,71,64,71,65,67,68,65,72,70,67,69,68,72,67,74,67,65,61,61,67,70,63,64,72,73,56,66,70,73,61,69,68,71,63,66,75,69,61,69,67,69,61,70,65,62,69,72,76,64,67,64,68,63,65,67,67,70,71,69,71,67,59,67,62,61,73,70,71,70,71,71
2p43_B,70,56,60,73,71,64,71,65,67,68,65,72,70,67,69,68,72,67,74,67,65,61,61,67,70,63,64,72,73,56,66,70,73,61,69,68,71,63,66,75,69,61,69,67,69,61,70,65,62,69,72,76,64,67,64,68,63,65,67,67,70,71,69,71,67,59,67,62,61,73,70,71,70,71,71
2p42_B,70,56,60,73,71,64,71,65,67,68,65,72,70,67,69,68,72,67,74,67,65,61,61,67,70,63,64,72,73,56,66,70,73,61,69,68,71,63,66,75,69,61,69,67,69,61,70,65,62,69,72,76,64,67,64,68,63,65,67,67,70,71,69,71,67,59,67,62,61,73,70,71,70,71,71
1bzq_K,70,56,60,73,71,64,71,65,67,68,65,72,70,67,69,68,72,67,74,67,65,61,61,67,70,63,64,72,73,56,66,70,73,61,69,68,71,63,66,75,69,61,69,67,69,61,70,65,62,69,72,76,64,67,64,68,63,65,67,67,70,71,69,71,67,59,67,62,61,73,70,71,70,71,71
3zhl_A,67,68,59,67,68,61,68,62,67,67,67,68,70,68,70,66,69,63,72,61,71,61,59,71,67,63,59,68,68,68,60,65,66,61,72,67,69,73,70,60,66,59,71,63,71,61,63,59,75,69,69,69,59,70,76,67,59,62,66,63,68,67,73,68,63,56,76,73,60,70,65,67,62,66,65
6fe4_F,68,59,64,74,69,64,74,64,69,71,70,66,72,66,70,70,71,70,75,66,79,64,62,72,67,61,61,65,70,59,61,69,72,62,69,72,74,64,70,66,69,59,68,63,80,58,66,66,78,68,71,71,64,69,80,74,64,72,67,70,69,74,74,65,66,60,81,63,58,70,67,69,67,68,73
5e1h_B,71,58,60,67,72,61,68,61,65,67,66,73,70,70,69,68,69,67,74,65,63,62,65,64,70,68,61,72,75,56,62,70,73,61,65,69,66,60,65,68,73,62,69,70,62,65,71,61,66,67,68,73,67,68,67,66,64,63,66,64,64,66,70,72,63,54,66,60,63,73,71,69,68,66,70
7a17_F,70,59,65,69,73,64,70,66,68,67,66,75,72,68,70,70,70,64,76,68,63,66,63,68,70,69,64,75,74,59,69,67,73,64,68,69,70,64,69,69,71,61,67,67,64,64,71,63,65,71,72,72,65,69,67,68,67,64,69,65,67,69,70,76,67,54,70,63,68,73,71,72,69,70,70
7a17_D,70,59,65,69,73,64,70,66,68,67,66,75,72,68,70,70,70,64,76,68,63,66,63,68,70,69,64,75,74,59,69,67,73,64,68,69,70,64,69,69,71,61,67,67,64,64,71,63,65,71,72,72,65,69,67,68,67,64,69,65,67,69,70,76,67,54,70,63,68,73,71,72,69,70,70
7a0v_B,70,59,65,69,73,64,70,66,68,67,66,75,72,68,70,70,70,64,76,68,63,66,63,68,70,69,64,75,74,59,69,67,73,64,68,69,70,64,69,69,71,61,67,67,64,64,71,63,65,71,72,72,65,69,67,68,67,64,69,65,67,69,70,76,67,54,70,63,68,73,71,72,69,70,70
6oz6_E,71,57,58,65,72,58,65,64,64,66,61,69,75,67,66,66,67,66,72,64,63,59,66,63,65,66,62,68,70,57,61,66,69,57,60,67,67,55,63,64,69,57,65,63,62,61,70,62,61,67,65,72,64,65,61,63,63,61,67,62,66,65,65,70,62,57,64,56,63,70,68,70,62,65,64
6oyz_E,71,57,58,65,72,58,65,64,64,66,61,69,75,67,66,66,67,66,72,64,63,59,66,63,65,66,62,68,70,57,61,66,69,57,60,67,67,55,63,64,69,57,65,63,62,61,70,62,61,67,65,72,64,65,61,63,63,61,67,62,66,65,65,70,62,57,64,56,63,70,68,70,62,65,64
6oyh_E,71,57,58,65,72,58,65,64,64,66,61,69,75,67,66,66,67,66,72,64,63,59,66,63,65,66,62,68,70,57,61,66,69,57,60,67,67,55,63,64,69,57,65,63,62,61,70,62,61,67,65,72,64,65,61,63,63,61,67,62,66,65,65,70,62,57,64,56,63,70,68,70,62,65,64
6v7z_E,70,59,66,74,74,72,75,65,74,71,69,72,75,68,75,69,74,66,78,65,67,67,65,71,71,67,64,72,74,59,64,69,75,64,67,76,75,64,66,70,73,61,70,68,67,61,71,63,69,80,74,78,64,78,71,65,63,67,67,71,72,73,74,72,74,60,72,66,63,73,71,69,66,74,72
4nc1_C,76,57,64,74,77,66,76,64,67,75,66,75,76,70,72,68,74,68,79,66,67,63,67,67,69,71,62,75,80,58,69,70,75,65,69,69,74,61,70,73,75,60,71,71,65,63,74,63,65,70,76,75,66,69,70,69,68,64,69,68,67,73,73,75,68,58,71,60,66,76,73,75,68,71,72
4nby_B,76,57,64,74,77,66,76,64,67,75,66,75,76,70,72,68,74,68,79,66,67,63,67,67,69,71,62,75,80,58,69,70,75,65,69,69,74,61,70,73,75,60,71,71,65,63,74,63,65,70,76,75,66,69,70,69,68,64,69,68,67,73,73,75,68,58,71,60,66,76,73,75,68,71,72
4nbx_B,76,57,64,74,77,66,76,64,67,75,66,75,76,70,72,68,74,68,79,66,67,63,67,67,69,71,62,75,80,58,69,70,75,65,69,69,74,61,70,73,75,60,71,71,65,63,74,63,65,70,76,75,66,69,70,69,68,64,69,68,67,73,73,75,68,58,71,60,66,76,73,75,68,71,72
1zvh_A,68,57,59,67,68,61,68,63,65,66,66,69,67,68,68,69,68,70,72,67,59,57,63,63,68,63,62,69,74,56,67,71,71,59,64,67,69,60,64,82,70,56,67,66,61,63,70,67,60,70,69,75,61,66,60,70,67,63,67,65,68,67,63,69,63,51,62,60,62,69,68,67,72,72,70
3qsk_B,69,56,61,71,70,64,71,65,65,68,65,72,70,68,70,68,72,66,74,67,65,63,60,67,69,62,64,72,73,56,66,71,72,61,68,67,73,62,68,73,69,60,71,66,69,59,67,65,62,69,72,75,63,67,63,67,63,65,67,67,70,71,69,71,67,58,67,62,61,73,69,71,70,70,70
7klw_B,71,61,68,85,71,71,83,64,69,70,66,71,70,68,69,69,89,65,73,67,68,68,67,71,69,66,62,71,76,60,69,67,77,67,68,69,83,63,69,72,69,61,68,64,71,62,68,65,70,70,88,70,63,73,70,68,66,65,67,70,68,83,75,71,72,60,73,63,62,73,69,71,65,73,72
7kdu_C,73,59,61,68,74,66,68,65,67,72,65,71,72,68,68,66,69,64,76,67,63,65,64,67,71,68,63,72,74,57,64,68,71,63,66,69,68,63,65,66,73,64,67,68,63,61,69,60,66,74,69,76,66,72,67,70,62,61,65,66,65,70,70,71,65,55,66,60,65,76,69,73,66,70,69
6zpl_E,69,60,66,82,72,68,81,63,70,71,65,73,73,70,71,70,87,64,75,65,69,66,66,71,70,67,62,73,75,61,68,68,75,65,69,69,81,64,70,69,71,62,69,65,70,61,69,63,70,70,88,70,63,73,71,69,65,67,69,68,69,82,73,73,72,61,73,65,63,74,71,73,64,71,70
