,model,Number of residues in common,global rmsd,TM-score,MaxSub-score,GDT-TS-score,GDT-TS-score %(d<1),GDT-TS-score %(d<2),GDT-TS-score %(d<4),GDT-TS-score %(d<8),GDT-HA-score,GDT-HA-score %(d<0.5),GDT-HA-score %(d<1),GDT-HA-score %(d<2),GDT-HA-score %(d<4),TM-score Superposition Length(d<5.0),CDR3 length,resolution
7z1b_E,NN,127,2.218,0.9176,0.8825,0.9075,0.7795,0.8898,0.9764,0.9843,0.7874,0.5039,0.7795,0.8898,0.9764,124,18,2.3
7z1b_E,NNem,127,2.519,0.8555,0.7929,0.7992,0.4331,0.811,0.9606,0.9921,0.5906,0.1575,0.4331,0.811,0.9606,121,18,2.3
7z1b_E,AF2r10,127,1.56,0.9251,0.888,0.9154,0.7953,0.8898,0.9764,1.0,0.8209,0.622,0.7953,0.8898,0.9764,123,18,2.3
7z1b_E,OFr20,127,1.8,0.9217,0.8832,0.9213,0.8346,0.8976,0.9528,1.0,0.8346,0.6535,0.8346,0.8976,0.9528,120,18,2.3
7z1b_E,IFem,127,1.555,0.9171,0.8822,0.8957,0.7323,0.874,0.9764,1.0,0.7421,0.3858,0.7323,0.874,0.9764,126,18,2.3
7z1b_E,OFr20em,127,1.851,0.9025,0.857,0.8957,0.748,0.874,0.9606,1.0,0.748,0.4094,0.748,0.874,0.9606,119,18,2.3
7z1b_E,YS,127,2.097,0.8837,0.8353,0.8484,0.5827,0.8504,0.9606,1.0,0.6594,0.2441,0.5827,0.8504,0.9606,122,18,2.3
7z1b_E,OFr4,127,1.766,0.922,0.8813,0.9252,0.8504,0.8898,0.9606,1.0,0.8425,0.6693,0.8504,0.8898,0.9606,119,18,2.3
7nfr_B,ESM,117,0.944,0.973,0.9601,0.9786,0.9487,0.9744,0.9915,1.0,0.938,0.8376,0.9487,0.9744,0.9915,115,8,1.88
7nfr_B,NN,117,0.923,0.9689,0.9537,0.9744,0.9402,0.9658,0.9915,1.0,0.9103,0.7436,0.9402,0.9658,0.9915,116,8,1.88
7nfr_B,OFr20,117,0.445,0.989,0.9861,0.9936,0.9744,1.0,1.0,1.0,0.9701,0.906,0.9744,1.0,1.0,117,8,1.88
7nfr_B,OFr20em,117,0.58,0.9801,0.9745,0.985,0.9402,1.0,1.0,1.0,0.9038,0.6752,0.9402,1.0,1.0,117,8,1.88
7nfr_B,IFem,117,1.189,0.9573,0.9401,0.9679,0.9145,0.9658,0.9915,1.0,0.8568,0.5556,0.9145,0.9658,0.9915,115,8,1.88
7nfr_B,OFr4em,117,0.599,0.9789,0.973,0.9808,0.9231,1.0,1.0,1.0,0.8953,0.6581,0.9231,1.0,1.0,117,8,1.88
7nfr_B,IF,117,0.919,0.9715,0.9578,0.9808,0.9573,0.9658,1.0,1.0,0.938,0.8291,0.9573,0.9658,1.0,115,8,1.88
7nfr_B,YS,117,2.365,0.8515,0.7994,0.8077,0.5214,0.8205,0.8889,1.0,0.6175,0.2393,0.5214,0.8205,0.8889,104,8,1.88
7nfr_B,OFem,117,0.565,0.9812,0.9759,0.985,0.9402,1.0,1.0,1.0,0.906,0.6838,0.9402,1.0,1.0,117,8,1.88
7nfr_B,AF2r10,117,0.385,0.9909,0.9883,1.0,1.0,1.0,1.0,1.0,0.9658,0.8632,1.0,1.0,1.0,117,8,1.88
7nfr_B,NNem,117,1.324,0.9265,0.9026,0.9038,0.6752,0.9487,0.9915,1.0,0.7222,0.2735,0.6752,0.9487,0.9915,115,8,1.88
7nfr_B,AF2em,117,1.172,0.9542,0.9351,0.9594,0.8803,0.9658,0.9915,1.0,0.8483,0.5556,0.8803,0.9658,0.9915,114,8,1.88
7nfr_B,OF,117,0.445,0.989,0.9861,0.9936,0.9744,1.0,1.0,1.0,0.9701,0.906,0.9744,1.0,1.0,117,8,1.88
7nfr_B,OFr4,117,0.445,0.989,0.9861,0.9936,0.9744,1.0,1.0,1.0,0.9701,0.906,0.9744,1.0,1.0,117,8,1.88
7nfr_B,AF2r10em,117,0.556,0.9814,0.9761,0.9936,0.9744,1.0,1.0,1.0,0.8996,0.6239,0.9744,1.0,1.0,117,8,1.88
7nfr_B,AF2,117,1.059,0.9671,0.9524,0.9744,0.9402,0.9658,0.9915,1.0,0.9316,0.8291,0.9402,0.9658,0.9915,114,8,1.88
7nfr_B,AF2mem,117,0.772,0.9696,0.9622,0.9679,0.8974,0.9744,1.0,1.0,0.8825,0.6581,0.8974,0.9744,1.0,117,8,1.88
7nfr_B,AF2m,117,0.695,0.9788,0.9694,0.9829,0.9573,0.9744,1.0,1.0,0.9594,0.906,0.9573,0.9744,1.0,117,8,1.88
7nqk_B,AF2em,123,2.273,0.8798,0.8398,0.8455,0.5772,0.8537,0.9512,1.0,0.6667,0.2846,0.5772,0.8537,0.9512,116,18,3.5
7nqk_B,IFem,123,2.263,0.8678,0.817,0.8293,0.5528,0.8211,0.9431,1.0,0.624,0.1789,0.5528,0.8211,0.9431,117,18,3.5
7nqk_B,OFr4em,123,1.832,0.8986,0.8561,0.872,0.6423,0.878,0.9675,1.0,0.6809,0.2358,0.6423,0.878,0.9675,118,18,3.5
7nqk_B,OFem,123,1.886,0.8917,0.8476,0.8618,0.6179,0.8618,0.9675,1.0,0.6728,0.2439,0.6179,0.8618,0.9675,118,18,3.5
7nqk_B,NN,123,1.997,0.8935,0.847,0.874,0.6911,0.8537,0.9512,1.0,0.7154,0.3659,0.6911,0.8537,0.9512,117,18,3.5
7nqk_B,OF,123,1.688,0.9163,0.8793,0.9045,0.7561,0.8862,0.9756,1.0,0.7602,0.4228,0.7561,0.8862,0.9756,118,18,3.5
7nqk_B,OFr20em,123,1.892,0.8896,0.8431,0.8577,0.6016,0.8618,0.9675,1.0,0.6687,0.2439,0.6016,0.8618,0.9675,118,18,3.5
7nqk_B,IF,123,1.953,0.893,0.8529,0.8699,0.6667,0.8537,0.9593,1.0,0.6992,0.3171,0.6667,0.8537,0.9593,118,18,3.5
7nqk_B,AF2,123,2.002,0.9017,0.8623,0.8821,0.6911,0.878,0.9593,1.0,0.7195,0.3496,0.6911,0.878,0.9593,117,18,3.5
7nqk_B,NNem,123,2.104,0.8643,0.8168,0.8171,0.4959,0.8211,0.9512,1.0,0.6077,0.1626,0.4959,0.8211,0.9512,117,18,3.5
7nqk_B,AF2r10em,123,2.337,0.8734,0.8317,0.8415,0.5772,0.8374,0.9512,1.0,0.6585,0.2683,0.5772,0.8374,0.9512,116,18,3.5
7nqk_B,ESM,123,1.838,0.9051,0.8613,0.8841,0.6992,0.8699,0.9675,1.0,0.7317,0.3902,0.6992,0.8699,0.9675,119,18,3.5
7nqk_B,YS,123,4.157,0.824,0.7795,0.811,0.6341,0.813,0.8618,0.935,0.6504,0.2927,0.6341,0.813,0.8618,103,18,3.5
7nqk_B,OFr20,123,1.7,0.9155,0.8769,0.9045,0.7561,0.8862,0.9756,1.0,0.7581,0.4146,0.7561,0.8862,0.9756,118,18,3.5
7nqk_B,AF2r10,123,2.059,0.8997,0.8614,0.8801,0.6829,0.878,0.9593,1.0,0.7154,0.3415,0.6829,0.878,0.9593,117,18,3.5
7nqk_B,OFr4,123,1.72,0.9169,0.8817,0.9045,0.7561,0.8943,0.9675,1.0,0.7622,0.4309,0.7561,0.8943,0.9675,118,18,3.5
7ar0_B,AF2r10,125,0.554,0.9832,0.977,0.992,0.968,1.0,1.0,1.0,0.916,0.696,0.968,1.0,1.0,125,17,2.139
7ar0_B,OFr20em,125,0.97,0.9541,0.9393,0.944,0.8,0.976,1.0,1.0,0.81,0.464,0.8,0.976,1.0,125,17,2.139
7ar0_B,AF2mem,125,0.816,0.9665,0.9514,0.954,0.824,0.992,1.0,1.0,0.838,0.536,0.824,0.992,1.0,125,17,2.139
7ar0_B,IF,125,1.074,0.9544,0.933,0.952,0.856,0.952,1.0,1.0,0.864,0.648,0.856,0.952,1.0,125,17,2.139
7ar0_B,YS,125,2.494,0.8622,0.8107,0.836,0.64,0.808,0.896,1.0,0.66,0.296,0.64,0.808,0.896,111,17,2.139
7ar0_B,ESM,125,0.512,0.9856,0.9802,0.986,0.944,1.0,1.0,1.0,0.93,0.776,0.944,1.0,1.0,125,17,2.139
7ar0_B,AF2em,125,0.884,0.9583,0.9435,0.938,0.752,1.0,1.0,1.0,0.794,0.424,0.752,1.0,1.0,125,17,2.139
7ar0_B,AF2r10em,125,0.965,0.9511,0.934,0.924,0.696,1.0,1.0,1.0,0.778,0.416,0.696,1.0,1.0,125,17,2.139
7ar0_B,OFr4,125,0.76,0.9723,0.9636,0.968,0.896,0.976,1.0,1.0,0.904,0.744,0.896,0.976,1.0,125,17,2.139
7ar0_B,AF2,125,0.549,0.9836,0.9775,0.994,0.976,1.0,1.0,1.0,0.92,0.704,0.976,1.0,1.0,125,17,2.139
7ar0_B,NNem,125,1.24,0.928,0.9022,0.876,0.584,0.92,1.0,1.0,0.676,0.2,0.584,0.92,1.0,125,17,2.139
7ar0_B,OF,125,0.848,0.9677,0.9548,0.962,0.888,0.96,1.0,1.0,0.886,0.696,0.888,0.96,1.0,125,17,2.139
7ar0_B,OFr20,125,0.828,0.9674,0.9573,0.96,0.872,0.968,1.0,1.0,0.88,0.68,0.872,0.968,1.0,125,17,2.139
7ar0_B,AF2m,125,0.574,0.9835,0.9778,0.99,0.968,0.992,1.0,1.0,0.946,0.824,0.968,0.992,1.0,125,17,2.139
7ar0_B,OFem,125,1.023,0.9507,0.9319,0.936,0.768,0.976,1.0,1.0,0.798,0.448,0.768,0.976,1.0,125,17,2.139
7ar0_B,IFem,125,1.344,0.9268,0.8975,0.886,0.608,0.944,0.992,1.0,0.71,0.296,0.608,0.944,0.992,123,17,2.139
7ar0_B,OFr4em,125,1.037,0.9476,0.9271,0.928,0.744,0.968,1.0,1.0,0.768,0.36,0.744,0.968,1.0,125,17,2.139
7ar0_B,NN,125,0.879,0.9645,0.9528,0.954,0.856,0.96,1.0,1.0,0.88,0.704,0.856,0.96,1.0,125,17,2.139
7l6v_D,AF2em,117,0.837,0.9611,0.9509,0.9509,0.8205,0.9829,1.0,1.0,0.8205,0.4786,0.8205,0.9829,1.0,117,9,2.01
7l6v_D,OF,117,0.714,0.974,0.9675,0.9786,0.9316,0.9829,1.0,1.0,0.9017,0.6923,0.9316,0.9829,1.0,117,9,2.01
7l6v_D,AF2mem,117,0.859,0.9595,0.949,0.9509,0.8205,0.9829,1.0,1.0,0.8205,0.4786,0.8205,0.9829,1.0,117,9,2.01
7l6v_D,OFr4em,117,0.945,0.9563,0.9415,0.9573,0.8547,0.9744,1.0,1.0,0.8205,0.453,0.8547,0.9744,1.0,117,9,2.01
7l6v_D,OFr20em,117,0.838,0.9656,0.9538,0.9701,0.906,0.9744,1.0,1.0,0.8675,0.5897,0.906,0.9744,1.0,117,9,2.01
7l6v_D,AF2,117,0.572,0.9811,0.9759,0.985,0.9402,1.0,1.0,1.0,0.9103,0.7009,0.9402,1.0,1.0,117,9,2.01
7l6v_D,AF2r10em,117,0.794,0.9661,0.9574,0.9658,0.8803,0.9829,1.0,1.0,0.8526,0.547,0.8803,0.9829,1.0,117,9,2.01
7l6v_D,OFr20,117,0.714,0.974,0.9675,0.9786,0.9316,0.9829,1.0,1.0,0.9017,0.6923,0.9316,0.9829,1.0,117,9,2.01
7l6v_D,NNem,117,1.716,0.8837,0.8383,0.844,0.5556,0.8462,0.9744,1.0,0.6474,0.2137,0.5556,0.8462,0.9744,115,9,2.01
7l6v_D,IF,117,1.053,0.9464,0.9306,0.9338,0.7863,0.9487,1.0,1.0,0.812,0.5128,0.7863,0.9487,1.0,117,9,2.01
7l6v_D,AF2r10,117,0.601,0.9795,0.9739,0.9786,0.9145,1.0,1.0,1.0,0.9103,0.7265,0.9145,1.0,1.0,117,9,2.01
7l6v_D,IFem,117,1.239,0.9293,0.9078,0.9145,0.735,0.9231,1.0,1.0,0.7543,0.359,0.735,0.9231,1.0,117,9,2.01
7l6v_D,OFr4,117,0.758,0.9711,0.9637,0.9744,0.9145,0.9829,1.0,1.0,0.9017,0.7094,0.9145,0.9829,1.0,117,9,2.01
7l6v_D,AF2m,117,0.595,0.9807,0.9757,0.9872,0.9573,0.9915,1.0,1.0,0.9316,0.7778,0.9573,0.9915,1.0,117,9,2.01
7l6v_D,YS,117,1.332,0.9168,0.8896,0.8974,0.6752,0.9145,1.0,1.0,0.7158,0.2735,0.6752,0.9145,1.0,117,9,2.01
7l6v_D,ESM,117,0.771,0.9718,0.9612,0.9765,0.9231,0.9829,1.0,1.0,0.891,0.6581,0.9231,0.9829,1.0,117,9,2.01
7l6v_D,NN,117,1.149,0.9397,0.9199,0.9231,0.7607,0.9316,1.0,1.0,0.7799,0.4274,0.7607,0.9316,1.0,117,9,2.01
7l6v_D,OFem,117,0.843,0.9651,0.953,0.9701,0.906,0.9744,1.0,1.0,0.8632,0.5726,0.906,0.9744,1.0,117,9,2.01
7czd_A,AF2r10em,115,0.602,0.9784,0.9729,0.9804,0.9217,1.0,1.0,1.0,0.9043,0.6957,0.9217,1.0,1.0,115,6,1.64
7czd_A,OFr4,115,0.994,0.9729,0.9646,0.9783,0.9478,0.9739,0.9913,1.0,0.9478,0.8783,0.9478,0.9739,0.9913,113,6,1.64
7czd_A,YS,115,1.928,0.896,0.8711,0.8565,0.5391,0.913,0.9739,1.0,0.663,0.2261,0.5391,0.913,0.9739,112,6,1.64
7czd_A,OFr20em,115,0.698,0.9722,0.9654,0.9739,0.9043,0.9913,1.0,1.0,0.8804,0.6261,0.9043,0.9913,1.0,115,6,1.64
7czd_A,NN,115,1.369,0.9539,0.9379,0.9587,0.9043,0.9565,0.9739,1.0,0.8696,0.6435,0.9043,0.9565,0.9739,112,6,1.64
7czd_A,OFr20,115,0.35,0.9924,0.9904,0.9978,0.9913,1.0,1.0,1.0,0.9783,0.9217,0.9913,1.0,1.0,115,6,1.64
7czd_A,NNem,115,1.765,0.8849,0.8446,0.8478,0.5478,0.8696,0.9739,1.0,0.6326,0.1391,0.5478,0.8696,0.9739,112,6,1.64
7czd_A,AF2r10,115,0.404,0.9899,0.9872,0.9978,0.9913,1.0,1.0,1.0,0.963,0.8609,0.9913,1.0,1.0,115,6,1.64
7czd_A,AF2,115,0.421,0.9891,0.9862,0.9978,0.9913,1.0,1.0,1.0,0.9587,0.8435,0.9913,1.0,1.0,115,6,1.64
7czd_A,ESM,115,1.713,0.9574,0.9458,0.9674,0.9391,0.9565,0.9739,1.0,0.9065,0.7565,0.9391,0.9565,0.9739,112,6,1.64
7czd_A,OFem,115,0.666,0.9742,0.9677,0.9804,0.9217,1.0,1.0,1.0,0.8913,0.6435,0.9217,1.0,1.0,115,6,1.64
7czd_A,AF2em,115,0.608,0.9779,0.9722,0.9783,0.913,1.0,1.0,1.0,0.8957,0.6696,0.913,1.0,1.0,115,6,1.64
7czd_A,OFr4em,115,1.237,0.9605,0.9495,0.9696,0.9391,0.9565,0.9826,1.0,0.8891,0.6783,0.9391,0.9565,0.9826,113,6,1.64
7czd_A,IFem,115,1.13,0.9459,0.9282,0.937,0.8087,0.9478,0.9913,1.0,0.8239,0.5478,0.8087,0.9478,0.9913,114,6,1.64
7czd_A,OF,115,0.373,0.9914,0.9892,0.9957,0.9826,1.0,1.0,1.0,0.9696,0.8957,0.9826,1.0,1.0,115,6,1.64
7czd_A,IF,115,1.048,0.9568,0.9417,0.9587,0.887,0.9565,0.9913,1.0,0.8674,0.6348,0.887,0.9565,0.9913,114,6,1.64
7te8_C,AF2em,119,0.92,0.9529,0.9393,0.9391,0.7647,0.9916,1.0,1.0,0.7626,0.2941,0.7647,0.9916,1.0,119,9,1.998
7te8_C,ESM,119,1.643,0.9132,0.8758,0.895,0.7143,0.8908,0.9748,1.0,0.7584,0.4538,0.7143,0.8908,0.9748,117,9,1.998
7te8_C,OFr4em,119,1.239,0.9282,0.9042,0.9055,0.6975,0.9244,1.0,1.0,0.7458,0.3613,0.6975,0.9244,1.0,119,9,1.998
7te8_C,NN,119,1.427,0.9254,0.8928,0.916,0.7899,0.8908,0.9832,1.0,0.7941,0.5126,0.7899,0.8908,0.9832,117,9,1.998
7te8_C,OF,119,0.975,0.9544,0.9426,0.9433,0.8235,0.9496,1.0,1.0,0.8319,0.5546,0.8235,0.9496,1.0,119,9,1.998
7te8_C,AF2r10em,119,1.417,0.9157,0.8869,0.8929,0.6723,0.9076,0.9916,1.0,0.7122,0.2773,0.6723,0.9076,0.9916,118,9,1.998
7te8_C,AF2r10,119,1.31,0.9334,0.8997,0.9244,0.7899,0.9244,0.9832,1.0,0.7983,0.4958,0.7899,0.9244,0.9832,118,9,1.998
7te8_C,IF,119,1.341,0.9285,0.8965,0.9097,0.7563,0.8992,0.9832,1.0,0.7773,0.4706,0.7563,0.8992,0.9832,119,9,1.998
7te8_C,AF2,119,0.858,0.961,0.9502,0.9601,0.8571,0.9832,1.0,1.0,0.8424,0.5294,0.8571,0.9832,1.0,119,9,1.998
7te8_C,OFr4,119,0.961,0.9552,0.944,0.9433,0.8235,0.9496,1.0,1.0,0.8319,0.5546,0.8235,0.9496,1.0,119,9,1.998
7te8_C,IFem,119,1.591,0.9064,0.8695,0.8824,0.6975,0.8571,0.9748,1.0,0.7143,0.3277,0.6975,0.8571,0.9748,116,9,1.998
7te8_C,OFr20em,119,1.333,0.9234,0.8955,0.9013,0.6975,0.916,0.9916,1.0,0.729,0.3109,0.6975,0.916,0.9916,119,9,1.998
7te8_C,NNem,119,2.086,0.8622,0.8059,0.8214,0.4958,0.8403,0.9496,1.0,0.6071,0.1429,0.4958,0.8403,0.9496,113,9,1.998
7te8_C,YS,119,1.993,0.8771,0.8301,0.8508,0.5966,0.8655,0.9412,1.0,0.6597,0.2353,0.5966,0.8655,0.9412,111,9,1.998
7te8_C,OFem,119,1.139,0.9344,0.9172,0.9097,0.7059,0.9328,1.0,1.0,0.7542,0.3782,0.7059,0.9328,1.0,119,9,1.998
7te8_C,OFr20,119,1.136,0.9438,0.926,0.9328,0.7983,0.9328,1.0,1.0,0.8193,0.5462,0.7983,0.9328,1.0,119,9,1.998
7kd0_C,YS,116,2.315,0.8535,0.7942,0.8319,0.6379,0.8017,0.8879,1.0,0.6552,0.2931,0.6379,0.8017,0.8879,104,9,2.768
7kd0_C,AF2r10em,116,1.924,0.9279,0.9044,0.9289,0.8362,0.931,0.9569,0.9914,0.8017,0.4828,0.8362,0.931,0.9569,111,9,2.768
7kd0_C,AF2,116,1.779,0.9425,0.9199,0.9547,0.9138,0.9397,0.9655,1.0,0.8793,0.6983,0.9138,0.9397,0.9655,112,9,2.768
7kd0_C,IFem,116,1.802,0.9082,0.8743,0.8944,0.7155,0.9052,0.9569,1.0,0.7392,0.3793,0.7155,0.9052,0.9569,112,9,2.768
7kd0_C,OFr20em,116,1.072,0.9443,0.9243,0.9397,0.8103,0.9483,1.0,1.0,0.7953,0.4224,0.8103,0.9483,1.0,116,9,2.768
7kd0_C,AF2r10,116,1.756,0.9421,0.9191,0.9547,0.9138,0.9397,0.9655,1.0,0.875,0.681,0.9138,0.9397,0.9655,112,9,2.768
7kd0_C,NNem,116,2.202,0.8754,0.8376,0.8362,0.5345,0.8621,0.9483,1.0,0.6401,0.2155,0.5345,0.8621,0.9483,110,9,2.768
7kd0_C,OFem,116,0.982,0.9541,0.9405,0.9504,0.8448,0.9569,1.0,1.0,0.8297,0.5172,0.8448,0.9569,1.0,116,9,2.768
7kd0_C,OFr4em,116,1.023,0.9506,0.9366,0.9461,0.8362,0.9483,1.0,1.0,0.8254,0.5172,0.8362,0.9483,1.0,116,9,2.768
7kd0_C,AF2em,116,2.0,0.9254,0.9004,0.9267,0.8362,0.9224,0.9569,0.9914,0.7974,0.4741,0.8362,0.9224,0.9569,111,9,2.768
7kd0_C,OF,116,0.881,0.9691,0.9558,0.972,0.9138,0.9741,1.0,1.0,0.9138,0.7672,0.9138,0.9741,1.0,115,9,2.768
7kd0_C,ESM,116,0.939,0.9676,0.9559,0.9677,0.9052,0.9741,0.9914,1.0,0.903,0.7414,0.9052,0.9741,0.9914,115,9,2.768
7kd0_C,NN,116,1.979,0.9259,0.905,0.9289,0.8534,0.9138,0.9483,1.0,0.8341,0.6207,0.8534,0.9138,0.9483,110,9,2.768
7kd0_C,OFr4,116,0.992,0.9618,0.9447,0.9634,0.9052,0.9569,0.9914,1.0,0.9116,0.7931,0.9052,0.9569,0.9914,115,9,2.768
7kd0_C,IF,116,1.684,0.9388,0.9115,0.9461,0.9052,0.9224,0.9569,1.0,0.8793,0.7328,0.9052,0.9224,0.9569,112,9,2.768
7kd0_C,OFr20,116,0.869,0.9701,0.9568,0.9741,0.9224,0.9741,1.0,1.0,0.9138,0.7586,0.9224,0.9741,1.0,115,9,2.768
7sl9_B,AF2m,122,1.792,0.8975,0.8528,0.875,0.6475,0.877,0.9754,1.0,0.6803,0.2213,0.6475,0.877,0.9754,118,14,3.5
7sl9_B,AF2r10em,122,1.935,0.8788,0.8382,0.8217,0.4754,0.8525,0.959,1.0,0.6086,0.1475,0.4754,0.8525,0.959,118,14,3.5
7sl9_B,AF2mem,122,1.899,0.871,0.8116,0.8238,0.5164,0.8115,0.9672,1.0,0.6168,0.1721,0.5164,0.8115,0.9672,120,14,3.5
7sl9_B,OFr20,122,1.3,0.9332,0.8984,0.9221,0.7459,0.9508,0.9918,1.0,0.748,0.3033,0.7459,0.9508,0.9918,121,14,3.5
7sl9_B,OFr4em,122,1.524,0.9033,0.868,0.8586,0.5492,0.9016,0.9836,1.0,0.6537,0.1803,0.5492,0.9016,0.9836,121,14,3.5
7sl9_B,NN,122,3.142,0.8774,0.8424,0.8566,0.6803,0.8525,0.9344,0.959,0.6803,0.2541,0.6803,0.8525,0.9344,115,14,3.5
7sl9_B,AF2em,122,1.758,0.8943,0.859,0.8443,0.5,0.9016,0.9754,1.0,0.6352,0.1639,0.5,0.9016,0.9754,118,14,3.5
7sl9_B,ESM,122,1.338,0.9238,0.8938,0.9037,0.6803,0.9426,0.9918,1.0,0.707,0.2131,0.6803,0.9426,0.9918,121,14,3.5
7sl9_B,OFem,122,1.589,0.8981,0.8561,0.8525,0.5082,0.9098,0.9918,1.0,0.6496,0.1885,0.5082,0.9098,0.9918,120,14,3.5
7sl9_B,NNem,122,3.414,0.8337,0.78,0.7848,0.4836,0.7787,0.918,0.959,0.5861,0.1639,0.4836,0.7787,0.918,114,14,3.5
7sl9_B,AF2r10,122,1.685,0.9187,0.8886,0.9057,0.7131,0.9426,0.9672,1.0,0.7111,0.2213,0.7131,0.9426,0.9672,118,14,3.5
7sl9_B,AF2,122,1.421,0.9269,0.8935,0.9221,0.7459,0.9508,0.9918,1.0,0.7357,0.2541,0.7459,0.9508,0.9918,118,14,3.5
7sl9_B,IFem,122,2.952,0.8688,0.8316,0.8381,0.5656,0.8689,0.9344,0.9836,0.6373,0.1803,0.5656,0.8689,0.9344,115,14,3.5
7sl9_B,OFr20em,122,1.514,0.9071,0.8666,0.8607,0.5164,0.9344,0.9918,1.0,0.6537,0.1721,0.5164,0.9344,0.9918,121,14,3.5
7sl9_B,YS,122,2.666,0.833,0.7714,0.791,0.5,0.7623,0.9016,1.0,0.5861,0.1803,0.5,0.7623,0.9016,112,14,3.5
7sl9_B,IF,122,2.848,0.884,0.8511,0.8627,0.6475,0.877,0.9426,0.9836,0.6783,0.2459,0.6475,0.877,0.9426,115,14,3.5
7sl9_B,OFr4,122,1.206,0.939,0.9134,0.9262,0.7623,0.9508,0.9918,1.0,0.7459,0.2787,0.7623,0.9508,0.9918,121,14,3.5
7sl9_B,OF,122,1.3,0.9332,0.8984,0.9221,0.7459,0.9508,0.9918,1.0,0.748,0.3033,0.7459,0.9508,0.9918,121,14,3.5
7cz0_E,OFem,115,0.928,0.9532,0.9425,0.9435,0.7913,0.9826,1.0,1.0,0.8152,0.487,0.7913,0.9826,1.0,115,6,2.77
7cz0_E,OFr4em,115,0.81,0.9634,0.9548,0.9674,0.8696,1.0,1.0,1.0,0.8565,0.5565,0.8696,1.0,1.0,115,6,2.77
7cz0_E,NNem,115,1.068,0.9425,0.9289,0.9304,0.7652,0.9565,1.0,1.0,0.7674,0.3478,0.7652,0.9565,1.0,115,6,2.77
7cz0_E,OFr20,115,0.644,0.976,0.9701,0.9739,0.8957,1.0,1.0,1.0,0.9,0.7043,0.8957,1.0,1.0,115,6,2.77
7cz0_E,YS,115,1.269,0.9181,0.8966,0.8848,0.5913,0.9478,1.0,1.0,0.6978,0.2522,0.5913,0.9478,1.0,115,6,2.77
7cz0_E,AF2r10em,115,0.85,0.96,0.9507,0.9522,0.8174,0.9913,1.0,1.0,0.8348,0.5304,0.8174,0.9913,1.0,115,6,2.77
7cz0_E,AF2em,115,0.782,0.9669,0.9591,0.9674,0.8783,0.9913,1.0,1.0,0.8609,0.5739,0.8783,0.9913,1.0,115,6,2.77
7cz0_E,OFr4,115,0.543,0.9824,0.9779,0.9848,0.9391,1.0,1.0,1.0,0.9239,0.7565,0.9391,1.0,1.0,115,6,2.77
7cz0_E,OF,115,0.63,0.977,0.9713,0.9739,0.8957,1.0,1.0,1.0,0.9043,0.7217,0.8957,1.0,1.0,115,6,2.77
7cz0_E,OFr20em,115,0.943,0.9519,0.9408,0.9413,0.7826,0.9826,1.0,1.0,0.813,0.487,0.7826,0.9826,1.0,115,6,2.77
7cz0_E,AF2r10,115,0.588,0.9799,0.9749,0.9826,0.9304,1.0,1.0,1.0,0.913,0.7217,0.9304,1.0,1.0,115,6,2.77
7cz0_E,IF,115,0.631,0.978,0.9727,0.9783,0.9304,0.9826,1.0,1.0,0.9152,0.7478,0.9304,0.9826,1.0,115,6,2.77
7cz0_E,IFem,115,0.915,0.9557,0.9457,0.9478,0.8261,0.9652,1.0,1.0,0.8217,0.4957,0.8261,0.9652,1.0,115,6,2.77
7cz0_E,NN,115,0.791,0.968,0.9607,0.9696,0.9043,0.9739,1.0,1.0,0.8826,0.6522,0.9043,0.9739,1.0,115,6,2.77
7cz0_E,ESM,115,0.395,0.9904,0.9878,0.9978,0.9913,1.0,1.0,1.0,0.963,0.8609,0.9913,1.0,1.0,115,6,2.77
7cz0_E,AF2,115,0.402,0.9901,0.9875,0.9957,0.9826,1.0,1.0,1.0,0.9587,0.8522,0.9826,1.0,1.0,115,6,2.77
7tpr_F,OFr4em,122,1.786,0.9035,0.8701,0.873,0.6475,0.8852,0.959,1.0,0.6988,0.3033,0.6475,0.8852,0.959,118,13,2.39
7tpr_F,NNem,122,1.883,0.8913,0.8507,0.8648,0.6393,0.8525,0.9672,1.0,0.6783,0.2541,0.6393,0.8525,0.9672,118,13,2.39
7tpr_F,OFr20em,122,1.785,0.901,0.8615,0.8791,0.6557,0.8934,0.9672,1.0,0.709,0.3197,0.6557,0.8934,0.9672,119,13,2.39
7tpr_F,OFr4,122,1.672,0.9241,0.8932,0.9098,0.7623,0.918,0.959,1.0,0.7725,0.4508,0.7623,0.918,0.959,118,13,2.39
7tpr_F,ESM,122,2.009,0.899,0.8547,0.8811,0.7295,0.8607,0.9344,1.0,0.7418,0.4426,0.7295,0.8607,0.9344,116,13,2.39
7tpr_F,NN,122,1.727,0.9088,0.8687,0.8955,0.7377,0.877,0.9672,1.0,0.748,0.4098,0.7377,0.877,0.9672,119,13,2.39
7tpr_F,AF2r10em,122,1.977,0.8886,0.8417,0.8566,0.5984,0.877,0.9508,1.0,0.6783,0.2869,0.5984,0.877,0.9508,116,13,2.39
7tpr_F,IF,122,2.149,0.9125,0.8855,0.9057,0.7787,0.8852,0.959,1.0,0.7725,0.4672,0.7787,0.8852,0.959,117,13,2.39
7tpr_F,AF2,122,1.962,0.9071,0.8679,0.8996,0.7541,0.8934,0.9508,1.0,0.7602,0.4426,0.7541,0.8934,0.9508,115,13,2.39
